,0
0,5.84
1,6.404999999999999
2,8.9
3,8.44
4,9.8
5,9.1
6,8.75
7,6.93
8,7.105
9,8.99
10,7.745
11,6.665
12,7.48
13,9.415
14,10.165
15,10.165
16,9.625
17,9.8
18,9.0
19,9.01
20,8.780000000000001
